bvid,uid,title,tname,pubdate,view,danmaku,reply,favorite,coin,share,like
BV1Vn4y1R7ae,504934876,深度|| 乾卦一生的奇男子！北周灭齐！功成不必为我的苍凉之歌！,人文历史,2024-06-12 10:40:00,718499,4813,1674,18372,81082,2102,68385
BV1ai421U7P2,504934876,战歌起！兰陵王入阵！郭襄风陵误终身的历史改编原型！,人文历史,2024-06-07 11:00:00,714082,4161,1191,6420,18641,986,35532
BV1Gt421u7bA,504934876,深度|| 为什么不是所有的好机会你都需要参与的？北齐在国家战略是上是怎样百战百胜后被拖死的？,人文历史,2024-05-21 11:00:00,1188075,4030,1507,13885,23508,3211,44797
BV1Am421M7k3,504934876,"为什么厨子偷东西会被美化为""厨子不偷,五谷不收""？",人文历史,2024-05-15 11:00:00,846904,2178,1329,6558,17529,1039,39467
BV1YT42197EF,504934876,宇宙大将军为什么带800败兵就能颠覆南国？,人文历史,2024-05-07 11:00:00,1081103,8720,2856,11724,41779,2286,56852
BV1NZ421H7tv,504934876,"郑大车！狗脚朕！宇宙大将军！温室大棚佛国的""萧菩萨""！",人文历史,2024-04-24 11:00:00,1496733,12948,2803,18335,57891,3185,71715
BV1Aq421P7yJ,504934876,"武川""李世民们""强行逆天改命！七千铁血狂屠十八万杀出珍珑棋局！",人文历史,2024-04-01 11:00:00,1195715,4821,1811,9612,22938,1451,46372
BV15q421P7Y9,504934876,"300万粉福利特供||""成事""的总纲是什么？为什么大多数人""行百里者半九十""的最终半途而废？",人文历史,2024-03-30 11:00:00,1227711,5843,2731,64723,90808,22060,102524
BV1vu4m1M77Y,504934876,武川代表大会胜利召开！陕北宇文泰被推举！李虎和独孤信是怎样通过“绕一圈”完成身价倍增的？,人文历史,2024-03-20 11:00:00,1135461,3399,1638,9444,28424,1378,49995
BV1U6421c77V,504934876,深度|| 统战之王！成本鬼才是怎样拿脑子诛灭群雄的？,人文历史,2024-03-15 11:00:00,1372196,3420,1243,14051,26717,1788,56037
BV1qz421R78X,504934876,阴云密布的司马平辽！司马懿为什么永远不生气？,人文历史,2024-03-02 10:00:00,2086507,10630,2329,28734,51263,9829,90086
BV1hy42187JR,504934876,"镇狱明王倒下!""加钱居士""挣脱锁妖塔！时来天地皆同力的死棋盘活！统战鬼才“渤海高氏”的专属剧情包！",人文历史,2024-02-21 11:00:00,1357423,3690,1620,7723,23629,1079,47176
BV1QF4m1M7TN,504934876,"尔朱荣亡!大乱世开启！魏末""锁妖塔""崩塌！倒下的是天鬼皇?还是镇狱明王?",人文历史,2024-02-16 11:00:00,2161148,5767,1867,18264,23396,1573,72537
BV1wv421i7SH,504934876,"新春特供||""人事""的暴力震慑收费本质，成败""时间差""的""红包""腾挪，""官断十条路""的最终解释权",人文历史,2024-02-05 11:00:00,1167913,2824,1367,17290,47824,5915,65810
BV1ey421a7tL,504934876,"深度|| 国家机器为什么要帮你""造神""？""白袍神话""是怎样造神成功的？谁是陈庆之""封神""的最关键贵人？",人文历史,2024-01-30 17:00:00,1697417,4729,1771,10787,19359,1401,52954
BV1xk4y1U7qa,504934876,深度|| 割须弃袍算什么！潼关遇马超的曹操究竟有多险？一夜筑冰城究竟能有多魔幻？,人文历史,2024-01-23 11:00:00,1675577,2792,1665,11066,18285,1567,77178
BV1xe41117Qh,504934876,"深度|| 七千收二十万的选锋神将！万王之王的北朝夜王！周齐隋唐的军校校长！尔朱荣到底是""尔朱麻子""还是""尔朱牧之""？",人文历史,2024-01-18 17:00:00,1793944,8633,2114,12800,30629,2090,57738
BV12b4y1G7to,504934876,"年度收官之战||""大汉年""终章，三战陇西，""失街亭""两百年前的独卧孤城",人文历史,2023-12-16 11:00:00,2211637,12593,2715,21968,83077,3574,101817
BV18M411d7k6,504934876,"电影时长首秀|| ""豪族队长""召唤神龙，""云台二十八将""归位河北，""光武中兴联盟""的河北惊魂记",人文历史,2023-12-06 11:00:00,1862848,19628,3422,32469,139470,5417,123242
BV1Uu4y1P7P8,504934876,光武中兴起航！金鳞岂是池中物的神秘预言现世！一遇风云便化龙的位面之子登场！,人文历史,2023-11-09 11:00:00,1783744,10773,2011,12149,38855,2102,68705
BV1Tc411R7T7,504934876,深度|| 王莽复古，3000万人损身殒命的德之贼幻想实验,人文历史,2023-11-06 11:15:32,4175122,25650,4313,27807,54621,6344,90336
BV1Z84y1D7ZA,504934876,"深度|| 豪族是怎样被""汉武宏图""制造出来的？扩招后无处就业的儒生们是怎样将汉末裹挟进""复古洪流""的？",人文历史,2023-11-04 11:00:00,1802319,15490,2150,15719,42824,3969,78281
BV19w41167er,504934876,深度|| 霍光废帝，武帝崩后的灭霸手套，历史之神的黑色幽默,人文历史,2023-10-23 11:00:00,2118430,17870,2664,24750,71059,5693,97505
BV1Aw411w7nK,504934876,巫蛊之祸！虎毒食子的政治谋杀！拯救千古之名的教科书级别演示！轮台罪己大帝你悔否？,人文历史,2023-10-18 16:00:00,2020697,15601,4177,22119,65223,6020,94331
BV1mH4y1f7yD,504934876,"深度|| 由千古第一阳谋""金刀计""拆解""做局""的本质、套路、技巧是什么？为什么高手的""做局""让你怎么选都是错？你是怎样被""挤入""他预先设定好的陷阱里的？",人文历史,2023-10-07 16:00:00,2847540,8156,3841,64200,64713,11541,148679
BV1p84y1U7rR,504934876,"中秋特供|| 西游宇宙的""听话听音""巅峰战，灌江口雇佣兵集团""听调不听宣""的真实内涵",人文历史,2023-09-28 10:00:00,4042331,17599,5668,52963,116649,14062,202380
BV1hV411A7Jn,504934876,封狼居胥！汉武大帝聚敛四海的发财秘密！农耕民族北伐之战的荣耀之巅！,人文历史,2023-09-20 11:00:00,3396056,26189,4591,36727,86264,8809,149070
BV1yh4y1Y7ZM,504934876,霍去病！凛冬已至的北境夜王！草原霸主的命中煞星！,人文历史,2023-09-16 10:00:00,4556688,27175,4749,57373,124715,9086,215038
BV1TN411i73k,504934876,深度|| 北境梦魇的绝育杀神，强汉开疆的核心密码，汉武大帝跨时代的突骑战法革命,人文历史,2023-09-09 09:00:00,3591684,13807,3475,22259,55406,3180,94232
BV1AG411Z7Pu,504934876,"""先登""能跨越阶层的""赢家通吃""原因，卫青与李广习惯决定命运的人生分野",人文历史,2023-08-24 11:00:00,3141651,15296,2958,18630,42489,2687,92587
BV1Yu4y1v7Bo,504934876,秦汉帝国完全体99%|| 空降领导如何扎根虎狼单位？白马之盟的封印如何被“文景之治”解封？,人文历史,2023-08-19 19:00:00,2425847,20630,2611,23040,71306,5714,105474
BV1nV411V7cp,504934876,"西汉最大IP政变|| 白马之盟的真正深义是什么？""天下共击吕""真的是因为""非刘姓封王""吗？",人文历史,2023-08-08 17:00:00,2493941,14754,3144,19415,55644,3587,103699
BV1Ru4y1y7fa,504934876,汉武大帝开篇|| 揭秘恐怖底蕴的吕氏家族，强汉开疆奠基的吕后之治,人文历史,2023-08-03 11:00:00,2894959,23316,3761,26052,73678,6154,117802
BV1Eh4y1L7Rz,504934876,深度|| 七佛之师与悟空的取经收获账本，西游宇宙炫耀即死的“财不露白”原则,人文历史,2023-07-22 11:00:00,3345710,17951,5109,47496,131466,16048,168920
BV1Tj411Z7Ts,504934876,决战垓下|| 霸王与兵仙的巅峰对决，力拔山兮气盖世的时代终章,人文历史,2023-07-11 10:30:00,2601503,25247,6784,26945,92094,6286,123782
BV1MV411g7Fv,504934876,楚河汉界|| 跑路之神的高祖，游击鬼才的彭越，龙王戏水的兵仙，焦头烂额的霸王,人文历史,2023-06-30 10:30:00,2190497,10535,4540,16627,60258,2287,103272
BV1aV4y117hS,504934876,深度|| 为什么谍报花费的投入产出比永远是最高的？为什么大BOSS的成本思维永远是给自己定价？,人文历史,2023-06-17 11:00:00,2081012,9651,2035,24319,46027,3881,89791
BV1XW4y197a9,504934876,深度|| 彭城惊天大逆转，项羽如何用3万骑兵狂屠风之子的“56万”联军？,人文历史,2023-05-31 18:00:00,2688420,15741,4601,22848,67324,3159,126079
BV1nX4y1y7TY,504934876,深度|| 兵仙起步就获得“A+”真的是靠什么暗度陈仓吗？,人文历史,2023-05-25 11:00:00,2345948,12963,3940,18185,61964,3812,99531
BV1KX4y1676s,504934876,破釜沉舟|| 项羽的军事才能是吹出来的还是真的？,人文历史,2023-04-19 11:00:00,2788024,11500,6072,24714,65837,4472,117742
BV14s4y1P7Pt,504934876,深度|| 权谋导演怎样布局暴打东北战狼？三国群雄逐鹿时代“步克骑”巅峰之战！,人文历史,2023-04-15 11:00:00,1959667,9331,2260,14103,56656,2298,83389
BV1nc411W7KL,504934876,深度|| 始起义！遍地复国！八千子弟过江！很遗憾，军国主义大秦再灭东方,人文历史,2023-04-06 10:30:00,3060587,17927,4244,31456,132304,4694,148400
BV18h411V7DL,504934876,深度|| 横扫八荒的大秦为何14年就亡了？秦到底崩在了哪？,人文历史,2023-03-30 11:00:00,3150405,18791,8524,23631,59855,5677,110715
BV1tL411d7dP,504934876,深度|| 欧洲为何没有“分久必合”？秦始皇“三功”如何奠基今日中国？,人文历史,2023-03-23 10:30:00,4361435,22245,9958,67515,100250,14368,182697
BV1gx4y1P7M9,504934876,深度|| 秦始皇的权力暗战，十年速灭六国的秦并天下总开关,人文历史,2023-03-16 11:00:00,3419085,21116,3948,34850,76175,6770,132490
BV11M4y1d7uu,504934876,深度|| 蜀亡前夜，蜀汉如何信仰崩塌？,人文历史,2023-03-01 11:00:00,2564906,18877,8194,26357,54652,7769,92093
BV1Tg4y1p7WX,504934876,人性深度|| 惯性定律，人生成就高度的永恒密码,社科·法律·心理,2023-02-21 11:00:00,2513522,5206,2513,87536,172218,32179,179292
BV15G4y1T78D,504934876,全程高能|| 家贼祖师爷的父子交接，权力博弈中的那些“不传之秘”,人文历史,2023-02-09 11:00:00,2852310,13121,1759,28805,71322,5539,110843
BV1WA411k73z,504934876,深度|| 高平陵之变，家贼祖师爷的“换房本”教科书，中国史的“蛇吞象”天花板,人文历史,2023-01-27 09:00:00,3061566,14587,3469,29907,57249,9797,94345
BV1aA411o7dW,504934876,盘点壬寅，那些让男人泪眼朦胧的史诗情话,人文历史,2023-01-20 11:00:00,998894,2550,1319,12910,36325,4604,51852
BV1GG4y1y7DL,504934876,新春特供|| 西游宇宙法宝等级的权力深意，天上对人间控制的终极手段,人文历史,2023-01-10 11:00:00,5983889,25290,6339,128001,427565,39948,432986
BV1t14y1G7zS,504934876,丞相终章|| 五丈原，殒赤星汉丞相谢幕归天,人文历史,2023-01-04 11:00:00,2485025,17714,4259,34544,123514,11225,121738
BV1C24y1U75H,504934876,全程高能 || 失街亭，一步不能走错的弱者悲哀,人文历史,2022-12-23 11:00:00,3570228,18863,5631,36524,94576,11035,127955
BV1P84y147pJ,504934876,深度||“七擒七纵”是真的？还是“成人童话”的寓言故事？,人文历史,2022-12-19 19:00:00,1865305,6110,2096,8788,29568,1734,60195
