bvid,uid,title,tname,pubdate,view,danmaku,reply,favorite,coin,share,like
BV1zs421M7Ao,519872016,李光耀一生最大遗憾，新加坡和马来西亚是如何分开的？【历史调研室51】,人文历史,2024-06-03 20:23:28,734468,958,913,6127,9824,694,31707
BV14z421h7qK,519872016,最坎坷的经济崛起，最折磨的现代化之路：朴正熙与韩国（上）【历史调研室50】,人文历史,2024-05-31 19:59:44,1528536,2920,4598,26495,67382,5158,90603
BV1zH4y137Pm,519872016,新加坡的建国之争，李光耀是如何战胜左派的？【历史调研室49】,人文历史,2024-05-03 19:46:32,1329697,1665,2481,13298,22401,1577,75508
BV1mm421p7XZ,519872016,从第三世界到第一世界，华人小国的崛起之路，新加坡与李光耀（下）【历史调研室48】,人文历史,2024-04-30 19:42:48,1740250,30887,6819,52417,217612,12083,171529
BV1Pm411o7Hx,519872016,从第三世界到第一世界，华人小国的崛起之路，新加坡与李光耀（中）【历史调研室47】,人文历史,2024-03-10 11:06:53,1750193,14197,2351,24112,61017,4637,87561
BV1HT4y1b7ed,519872016,从第三世界到第一世界，华人小国的崛起之路，新加坡与李光耀（上）【历史调研室46】,人文历史,2024-01-23 16:18:05,3570559,27461,5568,51325,76186,12310,135810
BV1jQ4y1u7Nn,519872016,你不了解的白求恩（下）【历史调研室45】,人文历史,2023-12-22 12:20:19,1549071,12210,3029,35024,106680,6666,115273
BV1aC4y177e3,519872016,奥本海默是苏联间谍吗？【历史调研室43】,人文历史,2023-11-08 20:10:13,1877367,11993,3146,34116,72747,6034,102233
BV1Q841197Hc,519872016,芬兰是否帮过日军侵华？芬兰、苏联与抗日战争【历史调研室】,人文历史,2023-08-09 10:09:52,1422138,14820,17447,22613,45835,8652,108352
BV1914y1d7DD,519872016,从1918到冬季战争，芬兰与苏联的二十年恩怨。曼纳海姆（下）【历史调研室40】,人文历史,2023-07-02 08:28:42,3167776,82339,31026,64495,228967,17205,202150
BV1Mm4y1C7Ge,519872016,芬兰内战中，红军为什么输给了白军？曼纳海姆(中)【历史调研室39】,人文历史,2023-04-29 18:09:43,3040264,46391,29072,40753,114820,11040,148476
BV1pL411r7BR,519872016,花花公子、间谍、将军，最后是芬兰的英雄：曼纳海姆(上)【历史调研室38】,人文历史,2023-03-21 18:22:55,2462103,14421,6700,30621,76180,8912,124279
BV18d4y1J7W3,519872016,乱世腾龙、再造河山，土耳其国父：凯末尔【历史调研室37】,人文历史,2023-02-11 11:22:16,2941184,21386,5064,43340,128379,13368,163564
BV19K4112749,519872016,环游美洲两万里，然后遇见共产主义。切·格瓦拉(下)【历史调研室36】,人文历史,2023-01-06 14:12:59,3645650,43487,20868,133550,421680,51253,334174
BV1TG4y1W7Qp,519872016,环游美洲两万里，然后遇见共产主义。切·格瓦拉（上）【历史调研室35】,人文历史,2022-09-30 18:44:56,4303463,20492,2751,90453,223396,45396,246396
BV1Qd4y1d7px,519872016,帝国覆灭之夜，苏德战场最终决战：柏林会战【历史调研室】,人文历史,2022-08-26 18:00:00,5232421,27588,0,72086,137579,17529,279728
BV1aa411Z7U2,519872016,善终的暴君、二战中最聪明的人之一：佛朗哥（下）【历史调研室34】,人文历史,2022-07-31 20:39:45,2764506,33254,7464,31989,105502,9347,135629
BV1ya411W7Lv,519872016,善终的暴君、二战中最聪明的人之一：佛朗哥（上）【历史调研室33】,人文历史,2022-06-30 10:56:44,3311121,21052,4898,33866,88366,9928,142939
BV1LB4y1X7Nj,519872016,我们的历史是怎样流传下来的？那些记录历史的人【历史调研室】,人文历史,2022-05-30 18:00:38,1352436,9186,1831,20564,50145,4394,86445
BV1tL4y1c7hj,519872016,一战的英雄，却在二战时投降。法国元帅贝当（下）【历史调研室32】,人文历史,2022-05-02 19:30:00,2784425,27516,4719,27118,81449,5779,123725
BV1HL4y1577D,519872016,二战最关键的转折点，改变世界命运的一战：斯大林格勒战役【历史调研室】,人文历史,2022-04-10 12:00:59,5597656,16997,7195,61593,72438,12520,202712
BV1h34y1k7m1,519872016,这是一场世界大战！一战历史年表，史诗级影视化剪辑【历史调研室30】,人文历史,2022-02-28 12:00:12,6047064,15806,6417,184517,180910,43828,255738
BV14P4y1A7UG,519872016,史上最大规模的登陆作战：诺曼底登陆，是如何成功的？【历史调研室】,人文历史,2022-01-30 19:00:07,3329636,11002,3712,40853,44341,11187,130611
BV1ES4y1y7K1,519872016,未被审判的战犯：昭和天皇裕仁（下）【历史调研室29】,人文历史,2022-01-29 19:02:37,2828086,51183,6312,33882,127062,8412,148805
BV16a411B7n9,519872016,未被审判的战犯：昭和天皇裕仁（中）【历史调研室28】,人文历史,2022-01-02 17:30:10,2647108,40826,5119,39102,165765,9911,170277
BV1434y1R7f9,519872016,未被审判的战犯：昭和天皇裕仁（上）【历史调研室27】,人文历史,2021-12-02 18:00:11,3835355,38900,6146,42803,119581,17611,177738
BV1SR4y1t7jB,519872016,谁要跟墨索里尼合影？【硬核狠人16】,人文历史,2021-11-18 11:00:13,10367799,31506,7264,45869,127791,15943,305328
BV1YP4y1b75e,519872016,史上最大规模的坦克会战，苏德钢铁洪流的对撞：库尔斯克会战【历史调研室】,人文历史,2021-10-29 20:21:38,2585406,8304,2652,21153,27103,4412,102548
BV1uT4y1d7jP,519872016,法西斯主义创始人，有名无实的凯撒：墨索里尼（下）【历史调研室26】,人文历史,2021-10-28 17:05:32,2296660,20091,3116,23106,64836,4562,114462
BV1ab4y117LB,519872016,法西斯主义创始人，有名无实的凯撒：墨索里尼（上）【历史调研室25】,人文历史,2021-09-29 17:37:22,3538054,21758,3805,41593,74736,13291,155018
BV1hL41147rg,519872016,美国最强总统，世界霸主奠基人：罗斯福（下）【历史调研室24】,人文历史,2021-08-30 16:53:01,5205932,55996,11961,73162,216323,20207,248087
BV14Q4y1f7f2,519872016,美国最强总统，世界霸主奠基人：罗斯福（中）【历史调研室23】,人文历史,2021-07-29 13:45:06,4618573,41002,5612,52383,149923,17133,197848
BV19V411s7tZ,519872016,美国最强总统，世界霸主奠基人：罗斯福（上）【历史调研室22】,人文历史,2021-06-28 12:00:14,5751196,32550,6548,74800,154095,42300,227326
BV1T64y1o7zr,519872016,能击败诸葛亮的是何等人物？【历史调研室】,人文历史,2021-05-28 18:00:00,1572864,4802,1905,7308,11259,1743,58492
BV1UB4y1c7q2,519872016,1940年元宵节，一个男人倒在了东北的雪地里【历史调研室21】,人文历史,2021-04-29 18:30:16,2162618,18408,3273,43804,128787,15222,177571
BV1TA411N7m3,519872016,法国最后的英雄：戴高乐【历史调研室20】,人文历史,2021-03-22 17:42:32,6872964,33538,7102,104052,198324,31595,299421
BV1Dy4y1h7vh,519872016,帝国的毁灭，元首的末路【历史调研室19】,人文历史,2021-02-20 18:30:19,5898464,39419,0,61056,132788,15343,222479
BV1bh411C7fU,519872016,历史上真正的赤壁之战，是什么样的？【历史调研室】,人文历史,2021-02-06 17:30:17,1432918,7578,1660,9473,17457,4991,57447
BV1FV411t7ht,519872016,崛起的帝国，走向战争的世界【历史调研室18】,人文历史,2021-01-09 17:05:00,5688251,22080,0,53591,97479,13176,180092
BV1cV411h7N1,519872016,81年前，他掀起了一场世界大战【历史调研室17】,人文历史,2020-12-09 17:00:18,9100381,29269,0,107910,140193,36621,287262
BV1ff4y1i7Zh,519872016,千年前肆掠欧洲的海盗，维京人与他们的传说【历史调研室】,人文历史,2020-11-03 18:00:10,1206097,5609,1434,11456,15434,3408,50764
BV1ty4y1B7Hq,519872016,慈父、领袖、钢铁之人，斯大林与苏联的崛起(中)【历史调研室15】,人文历史,2020-10-23 17:18:41,4911838,43423,4044,57576,109600,17000,177921
BV1H5411b73i,519872016,四度拜相，八年执政，安倍晋三的权力之路【历史调研室14】,人文历史,2020-09-19 17:00:28,2786750,11983,2895,20323,32875,10631,101525
BV1bk4y127f9,519872016,慈父、领袖、钢铁之人，斯大林与苏联的崛起(上)【历史调研室13】,人文历史,2020-08-30 17:00:01,7532165,29487,5317,117622,214471,45658,325575
BV1VC4y1t73M,519872016,五眼联盟是什么？【历史调研室12】,人文历史,2020-08-15 18:27:24,1637323,4436,1492,14062,26003,4262,79819
BV1tT4y1j7HN,519872016,全面解读美国原子弹计划，中国哪些城市是目标？【历史调研室11】,人文历史,2020-07-31 16:00:13,3858838,73460,18202,83506,130567,51148,220623
BV1wV41167o5,519872016,二战前夜，大国博弈：张伯伦与绥靖政策【历史调研室09】,人文历史,2020-06-27 18:35:20,2207536,7928,2130,21588,46370,5267,100575
BV1Z5411p7Ct,519872016,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,人文历史,2020-06-09 17:30:40,14243043,70308,14981,553572,559036,151321,632616
